Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Bourrignon;2803;0;Bourrignon;JU;585714;249470
Boussens;1034;0;Boussens;VD;534426;161745
Bouveret;1897;0;Port-Valais;VS;554808;137210
Boveresse;2113;0;Val-de-Travers;NE;536173;196489
Bovernier;1932;0;Bovernier;VS;572828;103221
Bowil;3533;0;Bowil;BE;619777;193481
Boécourt;2856;0;Boécourt;JU;583401;244199
Braggio;6544;0;Calanca;GR;729891;129425
Brail;7527;0;Zernez;GR;798814;170530
Bramboden;6167;0;Romoos;LU;641507;203371
Bramois;1967;0;Sion;VS;597800;120315
Bratsch;3957;2;Gampel-Bratsch;VS;620545;130054
Braunau;9502;0;Braunau;TG;722877;262423
Braunwald;8784;0;Glarus Süd;GL;718732;200023
Breganzona;6932;0;Lugano;TI;715219;96313.3
Breil/Brigels;7165;0;Breil/Brigels;GR;724155;181095
Breitenbach;4226;0;Breitenbach;SO;608479;250265
Bremblens;1121;0;Bremblens;VD;529367;155459
Bremgarten AG;5620;0;Bremgarten (AG);AG;667872;245309
Bremgarten b. Bern;3047;0;Bremgarten bei Bern;BE;599673;203050
Brenles;1683;0;Brenles;VD;555277;169047
Breno;6937;0;Alto Malcantone;TI;710846;98964.7
Brent;1817;0;Montreux;VD;558720;145294
Brenzikofen;3671;0;Brenzikofen;BE;613366;185013
Bressaucourt;2904;0;Fontenais;JU;569667;248616
Bretigny-sur-Morrens;1053;2;Bretigny-sur-Morrens;VD;538997;161035
Bretonnières;1329;0;Bretonnières;VD;526333;173888
Bretzwil;4207;0;Bretzwil;BL;615868;249876
Brienz BE;3855;0;Brienz (BE);BE;645222;178832
Brienz/Brinzauls GR;7084;0;Albula/Alvra;GR;764828;170877
Brienzersee;9999;2;;BE;640930;175395
Brienzwiler;3856;0;Brienzwiler;BE;651030;178148
Brig;3900;0;Brig-Glis;VS;642972;129605
Brigerbad;3900;3;Brig-Glis;VS;636824;127778
Brignon (Nendaz);1996;7;Nendaz;VS;591256;115336
Brione (Verzasca);6634;0;Brione (Verzasca);TI;704144;128159
Brione sopra Minusio;6645;0;Brione sopra Minusio;TI;706228;115612
Brislach;4225;0;Brislach;BL;607925;251921
Brissago;6614;0;Brissago;TI;698326;108346
Bristen;6475;0;Silenen;UR;695464;180628
Brittern;4588;1;Buchegg;SO;604260;218885
Brittnau;4805;0;Brittnau;AG;638018;234395
Broc;1636;0;Broc;FR;574014;161578
Broglio;6693;0;Lavizzara;TI;694050;136911
Bronschhofen;9552;0;Wil (SG);SG;719921;259912
Brontallo;6692;1;Lavizzara;TI;691579;134489
Brot-Dessous;2149;3;Brot-Dessous;NE;547371;200745
Brot-Plamboz;2318;0;Brot-Plamboz;NE;547301;203361
Bruderholz;4101;0;Binningen;BL;610803;264214
Brugg AG;5200;0;Brugg;AG;657898;259654
Brunegg;5505;0;Brunegg;AG;658643;252560
Brunnadern;9125;0;Neckertal;SG;727841;243886
